disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash.x,lastRefresh.x,id.x,femaDeclarationString,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,lastRefresh.y,hash.y,id.y,incidentYear
4477,NA,NA,NA,NA,5393346.7,273501.98,4325060.37,2023-11-02T00:00:00Z,NA,914831.3,86dfd9dbed9babd3e2db03ecd704ba6f73a632be,2023-11-02T04:02:44Z,2e13bea1-3c4f-47fc-9405-ee0cd8ce9b46,DR-4477-WI,WI,DR,2020-03-11T00:00:00Z,2020,Flood,SEVERE WINTER STORM AND FLOODING,0,0,1,1,2020-01-10T00:00:00Z,2020-01-12T00:00:00Z,NA,0,55,059,99059,Kenosha (County),20011,NA,2023-05-22T03:41:22Z,47455d8492500baa1d740cf6a3302afbff9e9d75,98e61a3b-760b-4e34-ae96-c76dab79ee77,2020
4477,NA,NA,NA,NA,5393346.7,273501.98,4325060.37,2023-11-02T00:00:00Z,NA,914831.3,86dfd9dbed9babd3e2db03ecd704ba6f73a632be,2023-11-02T04:02:44Z,2e13bea1-3c4f-47fc-9405-ee0cd8ce9b46,DR-4477-WI,WI,DR,2020-03-11T00:00:00Z,2020,Flood,SEVERE WINTER STORM AND FLOODING,0,0,1,1,2020-01-10T00:00:00Z,2020-01-12T00:00:00Z,NA,0,55,079,99079,Milwaukee (County),20011,NA,2023-05-22T03:41:22Z,5a1cdfad675f09042864ff555ec3975ec3287840,77d2822d-c10f-4d7f-a0ec-ae1db97ef441,2020
4477,NA,NA,NA,NA,5393346.7,273501.98,4325060.37,2023-11-02T00:00:00Z,NA,914831.3,86dfd9dbed9babd3e2db03ecd704ba6f73a632be,2023-11-02T04:02:44Z,2e13bea1-3c4f-47fc-9405-ee0cd8ce9b46,DR-4477-WI,WI,DR,2020-03-11T00:00:00Z,2020,Flood,SEVERE WINTER STORM AND FLOODING,0,0,1,1,2020-01-10T00:00:00Z,2020-01-12T00:00:00Z,NA,0,55,101,99101,Racine (County),20011,NA,2023-05-22T03:41:22Z,df15e31fb03ac20f69a4ecef6d23cbbc9dc70722,93dbbb8b-ec8b-441e-9397-7eb44bf57a0c,2020
4519,165,2242253.35,2069844.91,172408.44,5211308.74,436586.61,4224689.69,2023-11-02T00:00:00Z,2023-11-02T00:00:00Z,2818297,cedf0dcddece228bc2f8a7b9015cfb61719cdd37,2023-11-02T05:42:36Z,b3a29480-6231-43cd-ac2f-77086809634b,DR-4519-OR,OR,DR,2020-04-03T00:00:00Z,2020,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-02-05T00:00:00Z,2020-02-09T00:00:00Z,NA,0,41,061,99061,Union (County),20142,2020-07-02T00:00:00Z,2023-05-22T03:41:22Z,7ea27598a8cee04cc347861cced239c41790fe84,dc00ba43-7fc0-4b1d-97dd-14a9a583e9e1,2020
4519,165,2242253.35,2069844.91,172408.44,5211308.74,436586.61,4224689.69,2023-11-02T00:00:00Z,2023-11-02T00:00:00Z,2818297,cedf0dcddece228bc2f8a7b9015cfb61719cdd37,2023-11-02T05:42:36Z,b3a29480-6231-43cd-ac2f-77086809634b,DR-4519-OR,OR,DR,2020-04-03T00:00:00Z,2020,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-02-05T00:00:00Z,2020-02-09T00:00:00Z,NA,0,41,063,99063,Wallowa (County),20142,2020-07-02T00:00:00Z,2023-05-22T03:41:22Z,9728189df0194008a822d1e90e44b962974db90d,78e2dbb9-b6aa-4e28-92c7-dc82b64c2133,2020
4519,165,2242253.35,2069844.91,172408.44,5211308.74,436586.61,4224689.69,2023-11-02T00:00:00Z,2023-11-02T00:00:00Z,2818297,cedf0dcddece228bc2f8a7b9015cfb61719cdd37,2023-11-02T05:42:36Z,b3a29480-6231-43cd-ac2f-77086809634b,DR-4519-OR,OR,DR,2020-04-03T00:00:00Z,2020,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",1,0,1,1,2020-02-05T00:00:00Z,2020-02-09T00:00:00Z,NA,0,41,000,75750,Umatilla Indian Reservation,20142,2020-07-02T00:00:00Z,2023-05-22T03:41:22Z,829ac1985d29f111b772ce34b7507f6bc9a14869,39b1255d-97c8-4651-9b6e-1f6755471bb3,2020
4519,165,2242253.35,2069844.91,172408.44,5211308.74,436586.61,4224689.69,2023-11-02T00:00:00Z,2023-11-02T00:00:00Z,2818297,cedf0dcddece228bc2f8a7b9015cfb61719cdd37,2023-11-02T05:42:36Z,b3a29480-6231-43cd-ac2f-77086809634b,DR-4519-OR,OR,DR,2020-04-03T00:00:00Z,2020,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",1,0,1,1,2020-02-05T00:00:00Z,2020-02-09T00:00:00Z,NA,0,41,059,99059,Umatilla (County),20142,2020-07-02T00:00:00Z,2023-05-22T03:41:22Z,fc8235276dbd5fe345a8b319feca1b59f9b4f0c2,17a39b8c-5cf1-4da6-b404-71c3ad79def1,2020
4539,NA,NA,NA,NA,37304431.1,2740005.33,33748562.56,2023-11-02T00:00:00Z,NA,4741267.5,72be8432111b91b1aef47670c81777c22a8443fa,2023-11-02T04:02:44Z,e67771da-6c8d-4d8f-847f-e95a51211e26,DR-4539-WA,WA,DR,2020-04-23T00:00:00Z,2020,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-01-20T00:00:00Z,2020-02-10T00:00:00Z,NA,0,53,013,99013,Columbia (County),20108,NA,2023-05-22T03:41:22Z,9a9451e59a1fe49edb963c46a2eb94f83c515b91,d104e36d-b9e1-4e15-a457-0e1cd3019e1f,2020
4539,NA,NA,NA,NA,37304431.1,2740005.33,33748562.56,2023-11-02T00:00:00Z,NA,4741267.5,72be8432111b91b1aef47670c81777c22a8443fa,2023-11-02T04:02:44Z,e67771da-6c8d-4d8f-847f-e95a51211e26,DR-4539-WA,WA,DR,2020-04-23T00:00:00Z,2020,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-01-20T00:00:00Z,2020-02-10T00:00:00Z,NA,0,53,023,99023,Garfield (County),20108,NA,2023-05-22T03:41:22Z,18290f8bf6b396c90e9e65f54a5f5c4bda6bec17,4d667310-4f1b-4a1f-955d-36991477817d,2020
4539,NA,NA,NA,NA,37304431.1,2740005.33,33748562.56,2023-11-02T00:00:00Z,NA,4741267.5,72be8432111b91b1aef47670c81777c22a8443fa,2023-11-02T04:02:44Z,e67771da-6c8d-4d8f-847f-e95a51211e26,DR-4539-WA,WA,DR,2020-04-23T00:00:00Z,2020,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2020-01-20T00:00:00Z,2020-02-10T00:00:00Z,NA,0,53,027,99027,Grays Harbor (County),20108,NA,2023-05-22T03:41:22Z,87826f903ecc3e2b28879a75ff535d8f0c86018f,78263898-8882-4179-b4d9-eb46b5d66214,2020
